ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
216,BruteForce,High,AppServer-06,6,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-03 16:04:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
217,BruteForce,High,Workstation-08,4,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-27 04:43:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
218,Malware,High,DomainController-01,10,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-17 14:36:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
219,Malware,Medium,Workstation-08,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-04 12:36:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
220,BruteForce,Critical,MailServer-05,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-09 04:31:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
221,Phishing,High,DomainController-01,10,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-10 09:39:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
222,Phishing,Critical,Workstation-07,4,CVE-2023-36884,8.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-20 12:11:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
223,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-24 17:34:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
224,BruteForce,High,DatabaseServer-04,9,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-06 10:12:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
225,Malware,Critical,Workstation-07,4,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-21 04:51:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
226,Malware,Critical,DomainController-01,10,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-21 16:33:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
227,BruteForce,High,DomainController-01,10,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-20 10:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
228,BruteForce,Critical,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-19 17:32:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
229,Malware,Critical,DomainController-01,10,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-15 00:59:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
230,BruteForce,High,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-28 08:35:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
231,Ransomware,Critical,Workstation-08,4,CVE-2024-40711,9.8,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-26 00:09:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
232,Ransomware,Critical,MailServer-05,7,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-04 17:02:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
233,DataExfiltration,High,WebServer-03,7,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-28 12:01:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
234,Ransomware,High,WebServer-03,7,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-30 11:25:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
235,Malware,High,DomainController-01,10,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-09 22:21:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
236,BruteForce,High,MailServer-05,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-17 01:32:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
237,BruteForce,Critical,Workstation-07,4,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-05 09:03:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
238,BruteForce,High,AppServer-06,6,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-15 05:59:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
239,BruteForce,High,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-14 09:31:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
240,Phishing,Medium,Workstation-07,4,None,0.0,False,First occurrence,T1566,Phishing,2024-11-16 07:03:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
241,BruteForce,Low,Workstation-07,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-19 15:08:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
242,DataExfiltration,Critical,AppServer-06,6,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-25 05:12:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
243,BruteForce,High,AppServer-06,6,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-27 20:43:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
244,Malware,High,DomainController-01,10,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-25 01:23:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
245,Malware,High,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 02:45:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
246,BruteForce,Critical,Workstation-07,4,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-15 05:59:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
247,Malware,High,WebServer-03,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-23 23:31:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
248,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-19 00:37:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
249,Phishing,High,DomainController-01,10,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-25 22:36:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
250,Malware,High,Workstation-07,4,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-17 11:09:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
251,Malware,Critical,DomainController-01,10,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 17:26:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
252,BruteForce,High,Workstation-07,4,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-25 04:20:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
253,BruteForce,High,AppServer-06,6,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-23 23:21:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
254,Ransomware,High,WebServer-03,7,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-13 03:35:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
255,Phishing,High,WebServer-03,7,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-22 02:20:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
256,Ransomware,Critical,WebServer-03,7,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-17 10:57:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
257,DataExfiltration,Critical,DatabaseServer-04,9,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-04 14:22:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
258,Ransomware,Critical,Workstation-07,4,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-25 05:44:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
259,Malware,Critical,FileServer-02,8,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-10 21:40:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
260,Malware,Critical,MailServer-05,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-01 11:35:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
261,Malware,High,Workstation-07,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-13 12:20:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
262,Malware,Critical,DomainController-01,10,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-02 20:58:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
263,BruteForce,High,DatabaseServer-04,9,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-22 09:11:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
264,Phishing,Critical,WebServer-03,7,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-05 19:59:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
265,BruteForce,High,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-22 18:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
266,DataExfiltration,High,MailServer-05,7,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-09 04:00:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
267,DataExfiltration,Critical,FileServer-02,8,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-18 13:52:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
268,BruteForce,Critical,AppServer-06,6,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-15 01:59:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
269,BruteForce,High,FileServer-02,8,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-14 03:37:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
270,Malware,Critical,MailServer-05,7,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-14 08:10:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
271,BruteForce,High,WebServer-03,7,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-16 22:39:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
272,Phishing,Critical,Workstation-07,4,CVE-2023-36884,8.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-17 04:26:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
273,Phishing,High,Workstation-08,4,CVE-2023-36884,8.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-26 16:55:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
274,BruteForce,Critical,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-03 21:53:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
275,BruteForce,Critical,Workstation-08,4,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-20 02:07:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
276,Ransomware,High,Workstation-07,4,CVE-2024-40711,9.8,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-03 14:29:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
277,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-02 04:25:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
278,Malware,Critical,FileServer-02,8,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-12-01 03:04:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
279,Malware,Critical,DomainController-01,10,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-07 00:49:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
280,DataExfiltration,High,AppServer-06,6,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-17 08:24:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
281,Phishing,Low,Workstation-08,4,None,0.0,False,First occurrence,T1566,Phishing,2024-11-24 04:25:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
282,DataExfiltration,High,FileServer-02,8,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-21 00:43:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
283,BruteForce,Critical,AppServer-06,6,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-13 00:12:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
284,DataExfiltration,High,DomainController-01,10,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-01 22:15:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
285,Malware,High,DomainController-01,10,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-03 07:15:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
286,BruteForce,Critical,FileServer-02,8,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-03 15:08:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
287,BruteForce,High,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-14 22:15:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
288,Malware,High,Workstation-08,4,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-25 00:37:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
289,Phishing,High,AppServer-06,6,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-28 16:42:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
290,BruteForce,Critical,AppServer-06,6,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-24 04:30:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
291,Malware,High,DatabaseServer-04,9,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-19 00:35:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
292,BruteForce,Critical,WebServer-03,7,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-20 10:54:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
293,BruteForce,Critical,FileServer-02,8,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-26 23:02:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
294,Malware,High,Workstation-08,4,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-15 10:19:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
295,Malware,High,FileServer-02,8,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-11 14:44:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
296,Malware,High,FileServer-02,8,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-21 03:34:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
297,BruteForce,High,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-21 06:48:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
298,Phishing,High,MailServer-05,7,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-10 16:47:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
299,BruteForce,Critical,AppServer-06,6,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-17 10:36:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
300,BruteForce,High,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-28 15:47:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
301,Malware,Critical,MailServer-05,7,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-09 02:58:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
302,Phishing,Critical,DomainController-01,10,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-29 18:03:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
303,BruteForce,High,FileServer-02,8,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-22 19:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
304,Ransomware,Critical,Workstation-07,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-18 19:00:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
305,Ransomware,Medium,Workstation-07,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-12-01 00:43:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
306,Phishing,High,DatabaseServer-04,9,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-11 12:12:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
307,BruteForce,High,MailServer-05,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-18 13:29:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
308,Phishing,High,FileServer-02,8,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-29 03:54:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
309,Malware,High,AppServer-06,6,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-28 10:00:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
310,Malware,Critical,AppServer-06,6,CVE-2024-38112,8.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-05 07:57:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
311,Malware,High,FileServer-02,8,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-04 10:43:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
312,Phishing,High,DomainController-01,10,CVE-2023-36884,8.8,False,First occurrence,T1566,Phishing,2024-11-10 02:37:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
313,DataExfiltration,Critical,AppServer-06,6,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-25 10:53:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
314,Ransomware,Critical,Workstation-08,4,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-30 15:46:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
315,DataExfiltration,Low,Workstation-08,4,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-04 11:21:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
316,Ransomware,Critical,AppServer-06,6,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-20 11:31:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
317,BruteForce,Critical,AppServer-06,6,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 11:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
318,BruteForce,Critical,FileServer-02,8,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-28 07:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
319,BruteForce,Critical,DomainController-01,10,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-16 14:48:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
320,Malware,High,DatabaseServer-04,9,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-18 15:06:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
321,BruteForce,Medium,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-01 18:18:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
322,DataExfiltration,Critical,Workstation-08,4,CVE-2024-30103,8.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-17 11:10:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
323,BruteForce,Critical,Workstation-07,4,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-19 05:19:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
